episode,success,steps,total_reward,final_exploration_rate
1,False,50,-8.499999999999996,0.9753038143277888
2,False,50,-9.699999999999992,0.951217530242334
3,False,50,-11.299999999999992,0.9277260855008077
4,False,50,-8.899999999999995,0.9048147898403269
5,False,50,-11.399999999999991,0.8824693157914677
6,False,50,-8.499999999999995,0.8606756897186528
7,False,50,-7.699999999999996,0.8394202830818028
8,False,50,-8.899999999999995,0.8186898039137951
9,False,50,-8.899999999999993,0.7984712885083941
10,False,50,-10.099999999999994,0.7787520933134615
11,False,50,-8.099999999999996,0.7595198870243695
12,False,50,-10.099999999999994,0.7407626428726788
13,False,50,-6.599999999999996,0.7224686311052574
14,False,50,-8.099999999999996,0.7046264116491338
15,False,50,-8.899999999999995,0.6872248269575028
16,False,50,-9.299999999999992,0.6702529950324074
17,False,50,-9.299999999999995,0.6537003026197313
18,False,50,-12.499999999999993,0.637556398572254
19,False,50,-9.29999999999999,0.6218111873766076
20,False,50,-8.899999999999991,0.606454822840097
21,False,50,-7.699999999999995,0.5914777019334302
22,False,50,-8.499999999999996,0.5768704587855094
23,False,50,-8.099999999999994,0.5626239588265294
24,False,50,-8.099999999999998,0.548729293075715
25,False,50,-8.899999999999991,0.5351777725701358
26,False,50,-7.699999999999996,0.5219609229311034
27,False,50,-7.6999999999999975,0.5090704790647583
28,False,50,-7.799999999999993,0.49649837999353363
29,False,50,-6.899999999999999,0.4842367638152614
30,False,50,-8.899999999999995,0.4722779627867691
31,False,50,-7.299999999999997,0.46061449852889347
32,False,50,-8.899999999999993,0.44923907734991153
33,False,50,-5.799999999999997,0.4381445856844652
34,False,50,-7.699999999999999,0.4273240856451275
35,False,50,-6.899999999999999,0.41677081068382765
36,False,50,-7.6999999999999975,0.406478161360422
37,False,50,-6.599999999999996,0.396439701215766
38,False,50,-7.299999999999997,0.3866491527467055
39,False,50,-8.899999999999995,0.3771003934804696
40,False,50,-8.099999999999994,0.3677874521460121
41,False,50,-7.299999999999997,0.3587045049399047
42,False,50,-8.099999999999994,0.34984587188445015
43,False,50,-6.599999999999998,0.34120601327573535
44,False,50,-6.899999999999999,0.3327795262194029
45,False,50,-7.299999999999997,0.3245611412519779
46,False,50,-8.499999999999993,0.31654571904563433
47,False,50,-8.499999999999998,0.30872824719433983
48,False,50,-6.199999999999996,0.3011038370793723
49,False,50,-6.899999999999999,0.29366772081224507
50,False,50,-6.899999999999999,0.28641524825313086
51,False,50,-7.299999999999997,0.2793418841029192
52,False,50,-7.699999999999996,0.27244320506708813
53,False,50,-8.499999999999995,0.26571489708961893
54,False,50,-7.299999999999997,0.25915275265522114
55,False,50,-7.299999999999997,0.2527526681581832
56,False,50,-8.499999999999995,0.24651064133620196
57,False,50,-7.6999999999999975,0.2404227687675873
58,False,50,-7.299999999999999,0.23448524343027585
59,False,50,-8.499999999999996,0.2286943523211281
60,False,50,-7.299999999999997,0.22304647413401948
61,False,50,-7.699999999999996,0.21753807699527364
62,False,50,-7.6999999999999975,0.21216571625502262
63,False,50,-6.899999999999999,0.20692603233311097
64,False,50,-7.299999999999999,0.2018157486181985
65,False,50,-7.299999999999997,0.19683166941874727
66,False,50,-9.299999999999994,0.1919706779646106
67,False,50,-7.299999999999997,0.18722973445797636
68,False,50,-7.699999999999996,0.1826058741724434
69,False,50,-8.099999999999994,0.17809620559904438
70,False,50,-6.899999999999999,0.17369790863805412
71,False,50,-8.099999999999996,0.1694082328354539
72,False,50,-7.6999999999999975,0.1652244956629483
73,False,50,-7.299999999999997,0.1611440808404587
74,False,50,-7.299999999999997,0.1571644367000449
75,False,50,-7.699999999999995,0.15328307459023202
76,False,50,-8.099999999999998,0.1494975673197442
77,False,50,-7.6999999999999975,0.1458055476396719
78,False,50,-7.299999999999997,0.1422047067631241
79,False,50,-7.699999999999996,0.13869279292143966
80,False,50,-7.299999999999997,0.13526760995605422
81,False,50,-7.299999999999999,0.1319270159451434
82,False,50,-7.299999999999997,0.12866892186418147
83,False,50,-7.299999999999997,0.12549129027958048
84,False,50,-6.899999999999999,0.12239213407459068
85,False,50,-7.299999999999997,0.11936951520666646
86,False,50,-6.899999999999999,0.1164215434955208
87,False,50,-7.299999999999997,0.11354637544110997
88,False,50,-7.6999999999999975,0.11074221307080971
89,False,50,-7.6999999999999975,0.1080073028150614
90,False,50,-5.399999999999999,0.10533993441078586
91,False,50,-6.899999999999999,0.10273843983187857
92,False,50,-7.6999999999999975,0.1002011922461172
93,False,50,-7.6999999999999975,0.09772660499783015
94,False,50,-7.299999999999997,0.09531313061568897
95,False,50,-7.299999999999999,0.09295925984500425
96,False,50,-7.299999999999997,0.09066352070392071
97,False,50,-8.099999999999996,0.08842447756292034
98,False,50,-6.899999999999999,0.08624073024705824
99,False,50,-6.899999999999999,0.0841109131603698
100,False,50,-8.099999999999998,0.0820336944319021
101,False,50,-7.299999999999997,0.0800077750828344
102,False,50,-7.299999999999997,0.07803188821416818
103,False,50,-7.299999999999997,0.07610479821447784
104,False,50,-6.899999999999999,0.07422529998722693
105,False,50,-6.899999999999999,0.07239221819716682
106,False,50,-7.699999999999999,0.0706044065353464
107,False,50,-7.299999999999999,0.06886074700227324
108,False,50,-7.699999999999999,0.06716014920877787
109,False,50,-7.6999999999999975,0.06550154969414453
110,False,50,-6.899999999999999,0.06388391126108031
111,False,50,-6.899999999999999,0.06230622232710963
112,False,50,-7.6999999999999975,0.06076749629198526
113,False,50,-7.299999999999997,0.059266770920723
